t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500278247,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278257,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278267,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278277,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278287,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278297,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278307,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278316,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278326,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278336,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278346,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278356,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278366,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278376,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278386,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278396,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278405,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278415,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278425,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278435,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278445,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278455,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278465,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278475,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278485,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278495,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278504,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278514,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278524,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278534,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278544,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278554,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278564,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278574,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278584,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278593,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278603,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278613,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278623,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278633,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278643,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278653,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278663,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278672,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278682,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278692,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278702,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278712,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278722,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278732,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278742,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278752,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278761,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278771,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278781,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278791,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278801,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278811,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278821,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278831,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278841,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278850,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278860,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278870,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278880,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278890,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278900,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278910,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278920,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278930,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278939,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278949,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278959,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278969,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278979,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278989,0,0.000000,0.000000,0.000000,0.000000,events/second
1500278999,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279009,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279019,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279028,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279038,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279048,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279058,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279068,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279078,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279088,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279098,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279107,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279117,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279127,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279137,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279147,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279157,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279167,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279177,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279187,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279196,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279206,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279216,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279226,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279236,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279246,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279256,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279266,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279275,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279285,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279295,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279305,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279315,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279325,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279335,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279345,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279355,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279364,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279374,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279384,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279394,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279404,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279414,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279424,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279434,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279444,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279453,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279463,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279473,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279483,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279493,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279503,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279513,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279523,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279533,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279542,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279552,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279562,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279572,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279582,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279592,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279602,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279612,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279621,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279631,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279641,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279651,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279661,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279671,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279681,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279691,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279701,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279710,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279720,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279730,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279740,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279750,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279760,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279770,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279780,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279790,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279799,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279809,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279819,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279829,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279839,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279849,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279859,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279869,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279879,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279888,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279898,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279908,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279918,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279928,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279938,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279948,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279958,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279968,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279977,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279987,0,0.000000,0.000000,0.000000,0.000000,events/second
1500279997,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280007,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280017,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280027,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280037,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280047,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280056,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280066,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280076,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280086,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280096,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280106,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280116,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280126,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280136,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280145,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280155,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280165,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280175,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280185,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280195,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280205,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280215,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280225,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280234,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280244,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280254,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280264,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280274,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280284,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280294,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280304,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280314,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280323,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280333,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280343,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280353,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280363,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280373,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280383,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280393,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280403,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280412,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280422,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280432,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280442,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280452,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280462,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280472,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280482,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280491,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280501,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280511,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280521,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280531,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280541,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280551,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280561,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280571,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280580,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280590,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280600,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280610,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280620,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280630,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280640,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280650,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280660,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280669,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280679,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280689,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280699,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280709,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280719,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280729,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280739,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280749,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280758,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280768,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280778,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280788,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280798,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280808,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280818,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280828,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280838,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280847,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280857,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280867,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280877,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280887,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280897,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280907,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280917,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280927,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280936,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280946,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280956,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280966,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280976,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280986,0,0.000000,0.000000,0.000000,0.000000,events/second
1500280996,0,0.000000,0.000000,0.000000,0.000000,events/second
1500281006,0,0.000000,0.000000,0.000000,0.000000,events/second
1500281015,0,0.000000,0.000000,0.000000,0.000000,events/second
1500281025,0,0.000000,0.000000,0.000000,0.000000,events/second
1500281035,0,0.000000,0.000000,0.000000,0.000000,events/second
1500281045,0,0.000000,0.000000,0.000000,0.000000,events/second
