t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500458211,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458221,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458230,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458240,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458250,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458260,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458270,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458280,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458289,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458299,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458309,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458319,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458329,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458338,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458348,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458358,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458368,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458378,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458388,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458397,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458407,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458417,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458427,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458437,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458446,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458456,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458466,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458476,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458486,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458496,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458505,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458515,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458525,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458535,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458545,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458554,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458564,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458574,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458584,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458594,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458604,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458613,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458623,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458633,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458643,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458653,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458662,0,0.000000,0.000000,0.000000,0.000000,events/second
1500458672,0,0.000000,0.000000,0.000000,0.000000,events/second
